match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12027648,1,1,1,6,4,,,,,,,,
12027649,1,1,6,1,1,,,,,,,,
12027651,2,2,6,6,,,,,,,,,
12027652,0,0,4,0,,,,,,,,,
12027653,2,2,3,6,7,,,,,7,,,
12027654,2,2,6,6,6,,,3,,,,,
12027665,2,2,6,6,,,,,,,,,
12027666,0,0,3,2,,,,,,,,,
12027667,0,0,2,,,,,,,,,,
12027668,0,0,1,0,,,,,,,,,
12027669,1,1,7,1,6,,,,,5,,,
12027672,1,1,7,6,2,,,,5,,,,
12027673,0,0,1,1,,,,,,,,,
12027674,2,2,6,6,,,,,,,,,
12027677,2,2,5,7,6,,,,,,,,
12027678,1,1,6,4,3,,,,,,,,
12027679,2,2,1,6,6,,,,,,,,
12027680,2,2,6,6,,,,,,,,,
12027726,1,1,3,6,3,,,,,,,,
12027906,2,2,7,6,,,,,,,,,
12027950,0,0,5,4,,,,,,,,,
12027973,2,2,6,6,,,,,,,,,
12027974,,,,,,,,,,,,,
12027975,2,2,6,6,,,,,,,,,
12027978,2,2,7,7,,,,7,7,,,,
12027980,0,0,1,0,,,,,,,,,
12027981,2,2,6,3,6,,,,,,,,
12027982,2,2,6,6,,,,,,,,,
12027984,0,0,1,2,,,,,,,,,
12028119,0,0,3,4,,,,,,,,,
12028146,2,2,6,6,,,,,,,,,
12028542,2,2,6,6,,,,,,,,,
12028737,1,1,6,3,6,,,,,5,,,
12029386,0,0,3,4,,,,,,,,,
12029395,0,0,3,2,,,,,,,,,
12029459,1,1,6,1,4,,,,,,,,
12029551,0,0,6,4,,,,1,,,,,
12029619,2,2,7,7,,,,7,7,,,,
12029656,2,2,6,6,,,,,,,,,
12029657,0,0,5,5,,,,,,,,,
12029664,0,0,2,4,,,,,,,,,
12037643,0,0,1,1,,,,,,,,,
12038557,0,0,1,1,,,,,,,,,
12038623,0,0,6,3,,,,4,,,,,
12038644,1,1,6,5,7,,,,,,,,
12038683,2,2,7,6,,,,,,,,,
12038684,0,0,5,6,,,,,9,,,,
12038685,0,0,6,6,,,,5,2,,,,
12038726,0,0,3,4,,,,,,,,,
12038917,2,2,6,7,,,,,8,,,,
12039412,,,,,,,,,,,,,
12024368,2,2,7,7,,,,7,7,,,,
12024613,0,0,6,2,,,,2,,,,,
12024557,0,0,2,6,,,,,4,,,,
12024369,0,0,4,6,,,,,3,,,,
12024840,2,2,6,6,,,,,,,,,
12024614,1,1,6,2,0,,,,,,,,
12024556,2,2,6,7,,,,,,,,,
12024514,0,0,3,6,,,,,5,,,,
12021514,,,,,,,,,,,,,
12024837,2,2,6,6,,,,,,,,,
12024642,,,,,,,,,,,,,
12028119,0,0,3,4,,,,,,,,,
12024512,2,2,4,6,6,,,,,,,,
12021515,,,,,,,,,,,,,
12025139,2,2,6,6,,,,,,,,,
12025138,2,2,6,6,,,,,,,,,
12025685,0,0,4,4,,,,,,,,,
12025684,0,0,3,5,,,,,,,,,
12039412,,,,,,,,,,,,,
12027541,1,1,4,6,4,,,,,,,,
12024559,,,,,,,,,,,,,
12024513,1,1,6,4,2,,,,,,,,
12027906,2,2,7,6,,,,,,,,,
12024617,,,,,,,,,,,,,
12027227,2,2,6,7,,,,,7,,,,
12039218,0,0,3,,,,,,,,,,
12039283,0,0,3,2,,,,,,,,,
12024366,2,2,7,7,,,,8,7,,,,
12024616,,,,,,,,,,,,,
12024839,,,,,,,,,,,,,
12024558,,,,,,,,,,,,,
12039391,0,0,4,5,,,,,,,,,
12039701,2,2,7,6,,,,7,,,,,
12027231,2,2,6,7,,,,,7,,,,
12027545,2,2,6,6,,,,,,,,,
12027905,0,0,4,5,,,,,,,,,
12024511,,,,,,,,,,,,,
12024367,2,2,5,7,6,,,,7,,,,
12024836,,,,,,,,,,,,,
