match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12027654,1,1,7,4,2,,,7,,,,,
12027665,0,0,3,1,,,,,,,,,
12027666,2,2,6,6,,,,,,,,,
12027667,0,0,3,,,,,,,,,,
12027668,2,2,6,6,,,,,,,,,
12027669,2,2,5,6,7,,,,,7,,,
12027672,2,2,5,7,6,,,,7,,,,
12027673,2,2,6,6,,,,,,,,,
12027674,0,0,2,1,,,,,,,,,
12027677,1,1,7,5,1,,,,,,,,
12027678,2,2,4,6,6,,,,,,,,
12027679,1,1,6,4,1,,,,,,,,
12027680,0,0,2,0,,,,,,,,,
12027726,2,2,6,4,6,,,,,,,,
12027906,0,0,5,2,,,,,,,,,
12027950,2,2,7,6,,,,,,,,,
12027973,0,0,4,2,,,,,,,,,
12027974,,,,,,,,,,,,,
12027975,0,0,2,2,,,,,,,,,
12027978,0,0,6,6,,,,3,4,,,,
12027980,2,2,6,6,,,,,,,,,
12027981,1,1,4,6,3,,,,,,,,
12027982,0,0,0,0,,,,,,,,,
12027984,2,2,6,6,,,,,,,,,
12028119,2,2,6,6,,,,,,,,,
12028146,0,0,4,3,,,,,,,,,
12028542,0,0,4,4,,,,,,,,,
12028737,2,2,3,6,7,,,,,7,,,
12029386,2,2,6,6,,,,,,,,,
12029395,2,2,6,6,,,,,,,,,
12029459,2,2,4,6,6,,,,,,,,
12029551,2,2,7,6,,,,7,,,,,
12029619,0,0,6,6,,,,5,3,,,,
12029656,0,0,4,1,,,,,,,,,
12029657,2,2,7,7,,,,,,,,,
12029664,2,2,6,6,,,,,,,,,
12037643,2,2,6,6,,,,,,,,,
12038557,2,2,6,6,,,,,,,,,
12038623,2,2,7,6,,,,7,,,,,
12038644,2,2,4,7,10,,,,,,,,
12038683,0,0,5,3,,,,,,,,,
12038684,2,2,7,7,,,,,11,,,,
12038685,2,2,7,7,,,,7,7,,,,
12038726,2,2,6,6,,,,,,,,,
12038917,0,0,4,6,,,,,6,,,,
12039412,,,,,,,,,,,,,
12024368,0,0,6,6,,,,3,3,,,,
12024613,2,2,7,6,,,,7,,,,,
12024557,2,2,6,7,,,,,7,,,,
12024369,2,2,6,7,,,,,7,,,,
12024840,0,0,2,1,,,,,,,,,
12024614,2,2,4,6,6,,,,,,,,
12024556,0,0,3,5,,,,,,,,,
12024514,2,2,6,7,,,,,7,,,,
12021514,,,,,,,,,,,,,
12024837,0,0,2,3,,,,,,,,,
12024642,,,,,,,,,,,,,
12028119,2,2,6,6,,,,,,,,,
12024512,1,1,6,1,3,,,,,,,,
12021515,,,,,,,,,,,,,
12025139,0,0,4,4,,,,,,,,,
12025138,0,0,4,3,,,,,,,,,
12025685,2,2,6,6,,,,,,,,,
12025684,2,2,6,7,,,,,,,,,
12039412,,,,,,,,,,,,,
12027541,2,2,6,4,6,,,,,,,,
12024559,,,,,,,,,,,,,
12024513,2,2,4,6,6,,,,,,,,
12027906,0,0,5,2,,,,,,,,,
12024617,,,,,,,,,,,,,
12027227,0,0,1,6,,,,,4,,,,
12039218,0,0,4,,,,,,,,,,
12039283,2,2,6,6,,,,,,,,,
12024366,0,0,6,6,,,,6,3,,,,
12024616,,,,,,,,,,,,,
12024839,,,,,,,,,,,,,
12024558,,,,,,,,,,,,,
12039391,2,2,6,7,,,,,,,,,
12039701,0,0,6,3,,,,2,,,,,
12027231,0,0,1,6,,,,,2,,,,
12027545,0,0,1,4,,,,,,,,,
12027905,2,2,6,7,,,,,,,,,
12024511,,,,,,,,,,,,,
12024367,1,1,7,6,3,,,,5,,,,
12024836,,,,,,,,,,,,,
12027987,1,1,6,2,1,,,,,,,,
12025137,1,1,5,6,1,,,,,,,,
12027988,2,2,6,2,6,,,,,,,,
12025136,,,,,,,,,,,,,
12025683,,,,,,,,,,,,,
12040867,2,2,6,7,,,,,7,,,,
12025682,,,,,,,,,,,,,
12027230,,,,,,,,,,,,,
12041772,1,1,6,3,9,,,,,,,,
12027726,2,2,6,4,6,,,,,,,,
12021513,,,,,,,,,,,,,
12038623,2,2,7,6,,,,7,,,,,
12024510,2,2,6,7,,,,,,,,,
12024370,,,,,,,,,,,,,
12038685,2,2,7,7,,,,7,7,,,,
