match_id,market_id,market_name,is_live,suspended,initial_fractional_value,fractional_value,choice_name,choice_source_id,winnig,change
12191743,1,full_time,False,False,5/6,5/6,1,165024394,False,0
12191743,1,full_time,False,False,5/6,5/6,2,165024423,True,0
12191747,1,full_time,False,False,4/5,4/5,1,165023935,False,0
12191747,1,full_time,False,False,10/11,10/11,2,165024093,True,0
12191749,1,full_time,False,False,1/1,1/1,1,165023661,False,0
12191749,1,full_time,False,False,8/11,8/11,2,165023834,True,0
12191871,1,full_time,False,False,4/9,4/9,1,162350056,True,0
12191871,1,full_time,False,False,13/8,13/8,2,162350140,False,0
12191873,1,full_time,False,False,7/2,7/2,1,163006510,False,0
12191873,1,full_time,False,False,1/6,1/6,2,163006524,True,0
12191874,1,full_time,False,False,5/4,5/4,1,162351496,True,0
12191874,1,full_time,False,False,4/7,4/7,2,162351559,False,0
12191876,1,full_time,False,False,12/5,12/5,1,162350870,False,0
12191876,1,full_time,False,False,3/10,3/10,2,162350893,True,0
12191877,1,full_time,False,False,4/7,4/7,1,162349548,True,0
12191877,1,full_time,False,False,5/4,5/4,2,162349687,False,0
12191878,1,full_time,False,False,25/1,25/1,1,162352018,False,0
12191878,1,full_time,False,False,1/1000,1/1000,2,162352098,True,0
12191879,1,full_time,False,False,1/40,1/40,1,163006409,,0
12191879,1,full_time,False,False,19/2,19/2,2,163006441,,0
12191899,1,full_time,False,False,11/4,11/4,1,165014643,True,0
12191899,1,full_time,False,False,1/4,1/4,2,165014646,False,0
12191900,1,full_time,False,False,8/13,8/13,1,164663246,False,0
12191900,1,full_time,False,False,6/5,6/5,2,164663259,True,0
12191915,1,full_time,False,False,1/1,1/1,1,165014659,True,0
12191915,1,full_time,False,False,8/11,8/11,2,165014664,False,0
12192441,1,full_time,False,False,2/9,2/9,1,166047698,True,0
12192441,1,full_time,False,False,3/1,3/1,2,166047768,False,0
12192442,1,full_time,False,False,1/33,1/33,1,166131357,True,0
12192442,1,full_time,False,False,9/1,9/1,2,166131484,False,0
12192443,1,full_time,False,False,5/6,5/6,1,166130565,True,0
12192443,1,full_time,False,False,5/6,5/6,2,166130754,False,0
12192444,1,full_time,False,False,4/6,4/6,1,166129906,True,0
12192444,1,full_time,False,False,11/10,11/10,2,166129948,False,0
12192445,1,full_time,False,False,4/9,4/9,1,166129293,False,0
12192445,1,full_time,False,False,13/8,13/8,2,166129296,True,0
12192448,1,full_time,False,False,1/2,1/2,1,166129305,True,0
12192448,1,full_time,False,False,6/4,6/4,2,166129306,False,0
12192452,1,full_time,False,False,6/4,6/4,1,166129154,True,0
12192452,1,full_time,False,False,1/2,1/2,2,166129155,False,0
12192453,1,full_time,False,False,9/4,9/4,1,166132232,False,0
12192453,1,full_time,False,False,1/3,1/3,2,166132370,True,0
12193158,1,full_time,False,False,6/4,6/4,1,166577342,False,0
12193158,1,full_time,False,False,1/2,1/2,2,166577381,True,0
12193165,1,full_time,False,False,1/2,1/2,1,166577143,True,0
