match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
12029619,4177,3890,,,,1706952185
12029656,2168,1668,,,,1706946538
12029657,2604,2841,,,,1706950537
12029664,1639,1999,,,,1706946177
12037643,1895,1440,,,,1706955336
12038557,1448,1523,,,,1706957519
12038623,3748,1936,,,,1706966159
12038644,2128,3462,1044,,,1706964270
12038683,3308,2975,,,,1706967481
12038684,3483,4457,,,,1706967425
12038685,3566,3772,,,,1706966156
12038726,2463,2799,,,,1706968733
12038917,2326,3530,,,,1706968396
12039412,,,,,,
12024368,3713,2932,,,,1706883493
12024613,3348,2018,,,,1706886687
12024557,2046,3437,,,,1706885464
12024369,2811,3279,,,,1706891156
12024840,2044,1596,,,,1706890784
12024614,2857,2218,1883,,,1706895425
12024556,2554,3408,,,,1706893264
12024514,2116,4411,,,,1706893030
12021514,,,,,,
12024837,2021,1992,,,,1706896141
12024642,,,,,,
12028119,2213,2324,,,,1706897784
12024512,2099,1808,2548,,,1706902993
12021515,,,,,,
12025139,2160,3285,,,,1706911457
12025138,3724,2765,,,,1706920344
12025685,2640,3079,,,,1706940106
12025684,2717,3427,,,,1706947871
12039412,,,,,,
12027541,3160,3219,2961,,,1706972936
12024559,,,,,,
12024513,2557,3303,2165,,,1706976263
12027906,3689,2149,,,,1706973742
12024617,,,,,,
12027227,1625,3813,,,,1706971692
12039218,,,,,,1706970130
12039283,1085,1669,,,,1706971373
12024366,3162,3077,,,,1706975869
12024616,,,,,,
12024839,,,,,,
12024558,,,,,,
12039391,2379,2897,,,,1706976687
12039701,77,26,,,,1706981083
12027231,1594,3703,,,,1706979056
12027545,1640,3132,,,,1706979426
12027905,3783,4142,,,,1706982142
12024511,,,,,,
12024367,2758,3547,2056,,,1706987650
12024836,,,,,,
12027987,1987,2270,2167,,,1706999473
12025137,3312,3782,1851,,,1707005751
12027988,1782,2333,2984,,,1707008029
12025136,,,,,,
12025683,,,,,,
12040867,1983,3055,,,,1707035211
12025682,,,,,,
12027230,,,,,,
12041772,2028,2319,1274,,,1707057132
12027726,2639,2134,1931,,,1706891409
12021513,,,,,,
12038623,3748,1936,,,,1706966159
12024510,2134,3160,,,,1706964391
12024370,,,,,,
12038685,3566,3772,,,,1706966156
12024555,2183,2906,,,,1706964294
12024615,,,,,,
12024838,,,,,,
12038917,2326,3530,,,,1706968396
12025140,2260,3413,2719,,,1706993367
12025681,1990,1972,3255,,,1707027681
12027544,1989,2585,4342,,,1707053394
12041662,,,,,,1707049089
12027229,,,,,,
12041821,3444,3848,2172,,,1707063232
11998456,2218,2419,2975,,,1706885719
11998453,2815,1950,,,,1706892566
11998454,4711,2622,,,,1706901936
11998452,2510,3205,,,,1706908166
11998458,3094,3014,3231,,,1706975533
11998457,2118,1125,,,,1706982278
12002065,1346,4078,,,,1706877070
12002068,1844,3363,,,,1706883976
12002059,2372,1882,,,,1706892467
12002061,2345,2042,,,,1706897976
12002072,3463,3793,3944,,,1706972998
12002070,2457,1967,,,,1706980405
12002073,1597,2630,,,,1707053686
12002060,1622,3605,4419,,,1706882868
12002066,1937,3950,,,,1706956896
12002067,2075,3004,,,,1706963968
12002069,2642,2256,2233,,,1707048139
12024386,2773,2846,,,,1706883826
12024239,2003,1800,,,,1706892269
12025132,2609,1605,,,,1706897366
12024637,2792,1795,,,,1706896908
12024934,4273,2340,,,,1706899648
12024640,1516,1351,,,,1706902176
12025130,1315,1560,,,,1706902277
12024935,2713,1625,2767,,,1706908749
12023358,,,,,,
12025799,,,,,,
12029395,4377,2604,,,,1706932575
12023359,,,,,,
12038557,1448,1523,,,,1706957519
12023351,1537,2079,,,,1706940696
12026857,2405,3195,1554,,,1706946442
12025687,1985,2533,3879,,,1706946650
12023349,2708,1657,2521,,,1706949098
12038644,2128,3462,1044,,,1706964270
12026855,2463,5728,,,,1706952299
12026853,4077,3410,,,,1706955838
12024240,1904,2604,2194,,,1706956527
12025690,2180,1414,,,,1706954568
12023355,3259,3015,3227,,,1706959843
12026875,1615,1769,3465,,,1706958946
12024039,,,,,,
12024231,1328,3651,2433,,,1706961373
12024388,,,,,,
12027516,2244,2618,,,,1706961868
12026852,2516,2242,,,,1706963938
12024042,,,,,,
12027535,3980,2424,,,,1706966760
12027058,3098,2304,3100,,,1706968331
12026878,2488,3008,,,,1706966615
12023356,3109,3030,,,,1706967835
12027519,2022,2196,,,,1706968923
12024389,,,,,,
12024234,,,,,,
12027803,2402,2112,,,,1706972522
12024638,,,,,,
12039284,1477,2229,,,,1706972457
12027533,1881,2329,,,,1706972967
12024241,,,,,,
12027059,2176,2286,,,,1706975441
12027918,2399,2220,,,,1706976009
12027949,3575,2179,2212,,,1706979572
12027802,3127,2723,2183,,,1706982659
12024639,,,,,,
12028140,1750,2643,1608,,,1706982580
12024238,,,,,,
12028190,3354,2576,2495,,,1706986796
12027919,1352,1584,,,,1706981494
12027948,2259,2359,,,,1706986600
12028144,2663,2626,4713,,,1706992053
12024936,2507,2470,,,,1706989982
12027972,1448,2629,,,,1706989461
12028191,3482,2956,1753,,,1706997887
12025129,,,,,,
12027969,2289,1702,,,,1706996598
12024938,2457,4046,,,,1706996660
12040019,1589,3173,,,,1706995711
12025128,,,,,,
12026854,,,,,,
12040871,1974,1870,,,,1707035449
12025689,,,,,,
12041657,1943,1743,,,,1707046638
12040872,3740,2684,809,,,1707041397
12026859,,,,,,
12025688,,,,,,
12026856,,,,,,
12026858,,,,,,
12027804,,,,,,
12027531,,,,,,
12026877,3517,1624,5292,,,1707058384
12041771,2080,2949,,,,1707054744
12041820,2252,2186,938,,,1707057753
12027054,,,,,,
12027517,2542,2327,,,,1707057940
11974053,,,,,,
11974067,,,,,,
11974052,,,,,,
11974068,,,,,,
11974071,,,,,,
11987997,,,,,,
11974070,,,,,,
11974049,,,,,,
12002102,,,,,,
12001944,,,,,,
12002110,,,,,,
12002113,,,,,,
12002107,,,,,,
12001987,,,,,,
12023360,,,,,,
12028737,2294,2622,4744,,,1706920232
12024426,,,,,,
12029386,1613,2504,,,,1706934162
12029459,2286,1685,2799,,,1706948383
12023354,,,,,,
12029551,3046,2847,,,,1706950729
12029657,2604,2841,,,,1706950537
12029619,4177,3890,,,,1706952185
12024233,,,,,,
12024390,,,,,,
12024040,,,,,,
12024242,3198,2791,2935,,,1706968103
12024641,1279,1782,,,,1706966928
12024937,2332,3396,2474,,,1706982493
12025131,2606,1617,,,,1706990149
12040787,1607,2719,,,,1707028538
12026861,,,,,,
12025691,2052,1747,,,,1707030991
12026860,2546,2361,,,,1707040137
12026876,3008,2993,2785,,,1707047503
12027518,,,,,,
12041488,2951,2620,4852,,,1707047251
12027801,3642,2120,2398,,,1707047869
12027532,1505,4182,,,,1707046636
12027056,,,,,,
12041644,3403,1662,,,,1707051821
12028955,2820,2630,,,,1706972203
12028951,2165,3484,,,,1706971532
12028956,2116,2208,4258,,,1706977340
